timestamp,accel_x,accel_y,accel_z,omega_x,omega_y,omega_z,mag_x,mag_y,mag_z,roll,pitch,yaw,volt_main,pressure,temperature,elevator,aileron,rudder_l,rudder_r,state,opmode
108,-30,-38,2038,-2,-6,0,0,0,0,146,-186,13001,1423,-70,3128,0,0,0,0,0,0
195,-29,-45,2042,9,-3,0,0,0,0,146,-186,12999,1423,-61,3128,0,0,0,0,0,0
291,-29,-41,2044,-4,-2,0,0,0,0,146,-184,12998,1421,-83,3127,0,0,0,0,0,2
386,-24,-30,2041,9,8,0,0,0,0,144,-183,12997,1423,-58,3126,0,0,0,0,0,2
498,-32,-41,2047,-3,-8,0,0,0,0,141,-181,12997,1422,-28,3124,0,0,0,0,0,2
595,-31,-35,2040,3,10,0,0,0,0,141,-180,12996,1423,-49,3123,0,0,0,0,0,2
691,-26,-36,2039,0,3,0,0,0,0,142,-180,12998,1422,-33,3122,0,0,0,0,0,2
787,-25,-36,2039,-1,4,0,0,0,0,143,-181,12999,1423,-50,3121,0,0,0,0,0,2
899,-27,-39,2043,2,-2,0,0,0,0,145,-179,12999,1421,-46,3121,0,0,0,0,0,2
996,-29,-33,2042,7,0,0,0,0,0,143,-179,12999,1423,-52,3122,0,0,0,0,0,2
1091,-23,-44,2050,-3,-12,0,0,0,0,142,-176,13001,1421,-91,3122,0,0,8,8,0,2
1187,-38,-33,2033,-32,0,0,0,0,0,138,-174,12994,1421,-51,3123,0,0,0,0,0,2
1299,-32,-41,2048,-9,0,8,0,0,0,143,-180,12993,1422,-50,3124,0,0,0,0,0,2
1396,-30,-38,2035,-10,-7,1,0,0,0,145,-180,12994,1420,-55,3123,0,0,0,0,0,2
1492,-32,-34,2036,4,3,0,0,0,0,145,-179,12993,1422,-67,3123,0,0,0,0,0,2
1588,-18,-40,2048,9,1,0,0,0,0,145,-178,12993,1415,-57,3122,0,0,0,0,0,2
1700,-28,-38,2043,2,8,0,0,0,0,145,-178,12992,1421,-47,3121,0,0,0,0,0,2
1796,-25,-40,2038,10,0,0,0,0,0,146,-179,12992,1422,-14,3119,0,0,0,0,0,2
1892,-26,-44,2046,0,-4,0,0,0,0,147,-179,12992,1423,42,3118,5,0,0,0,0,2
1988,-23,-38,2042,-5,-6,0,0,0,0,147,-173,12991,1421,23,3117,2,0,4,4,0,2
2099,-29,-30,2038,9,7,0,0,0,0,145,-172,12986,1423,46,3116,0,0,0,0,0,2
2196,-37,-41,2039,-12,1,0,0,0,0,145,-179,12977,1423,-5,3114,0,0,0,0,0,2
2293,-17,-38,2042,8,1,0,0,0,0,146,-180,12973,1419,59,3113,0,0,0,0,0,2
2389,-26,-42,2045,3,0,0,0,0,0,145,-181,12970,1422,87,3112,0,0,0,0,0,2
2500,-30,-41,2039,1,1,0,0,0,0,146,-181,12966,1423,85,3112,0,0,0,0,0,2
2596,-29,-41,2037,-4,0,0,0,0,0,146,-181,12965,1423,40,3111,0,0,0,0,0,1
2692,-27,-39,2045,0,-1,0,0,0,0,145,-182,12962,1421,65,3111,0,0,0,0,0,1
2788,-27,-37,2045,2,-1,0,0,0,0,146,-182,12961,1423,78,3111,0,0,0,0,0,1
2901,-32,-39,2043,1,-1,0,0,0,0,146,-183,12960,1415,70,3111,0,0,0,0,0,1
2997,-28,-39,2039,5,0,0,0,0,0,148,-182,12959,1423,56,3112,0,0,0,0,0,1
3092,-25,-38,2037,-4,-1,0,0,0,0,148,-182,12957,1421,117,3111,0,0,0,0,0,1
3189,-36,-37,2038,1,-1,0,0,0,0,146,-182,12956,1421,85,3111,0,0,0,0,0,1
3301,-29,-40,2039,7,0,0,0,0,0,147,-181,12956,1422,107,3111,0,0,0,0,0,1
3397,-28,-38,2034,10,0,0,0,0,0,146,-181,12957,1421,349,3110,0,0,0,0,0,1
3493,-29,-38,2042,-10,0,0,0,0,0,145,-182,12957,1422,464,3109,0,0,0,0,0,2
3589,-34,-38,2038,4,5,0,0,0,0,144,-182,12958,1423,478,3109,0,0,0,0,0,2
3701,-25,-32,2039,1,0,0,0,0,0,145,-181,12958,1422,353,3109,0,0,0,0,0,2
3798,-29,-41,2040,2,2,0,0,0,0,145,-183,12957,1422,128,3108,0,0,0,0,0,2
3894,-26,-37,2037,-5,0,0,0,0,0,146,-183,12956,1422,108,3108,0,0,0,0,0,2
3990,-31,-42,2042,0,1,0,0,0,0,147,-183,12955,1421,108,3108,0,0,0,0,0,3
4086,-22,-37,2041,9,-6,0,0,0,0,142,-182,12953,1423,116,3108,0,0,0,0,0,3
4198,-28,-40,2042,0,0,0,0,0,0,142,-181,12952,1421,114,3108,0,0,0,0,0,3
4294,-28,-40,2043,-6,-1,0,0,0,0,142,-181,12953,1423,109,3109,0,0,0,0,0,3
4390,-27,-44,2044,5,3,0,0,0,0,142,-180,12953,1421,111,3109,0,0,0,0,0,3
4480,-26,-47,2045,4,0,0,0,0,0,143,-178,12952,1419,92,3109,0,0,0,0,0,3
4599,-29,-37,2038,2,-2,0,0,0,0,142,-177,12952,1421,79,3109,0,0,0,0,0,3
4695,-28,-34,2036,-7,0,0,0,0,0,142,-177,12952,1423,70,3109,0,0,0,0,0,2
4791,-24,-33,2041,3,-1,0,0,0,0,142,-176,12951,1422,54,3109,0,0,0,0,0,2
4881,-26,-39,2042,4,2,0,0,0,0,141,-175,12950,1426,120,3108,0,0,0,0,0,2
4999,-23,-42,2042,4,1,0,0,0,0,140,-175,12950,1422,87,3107,0,0,0,0,0,2
5095,-26,-36,2038,-10,-2,0,0,0,0,142,-173,12950,1423,60,3107,0,0,0,0,0,2
5191,-37,-36,2046,6,2,0,0,0,0,144,-174,12950,1422,90,3107,0,0,0,0,0,2
5281,-22,-40,2044,2,4,0,0,0,0,145,-172,12948,1422,74,3107,0,0,0,0,0,2
5399,-34,-42,2041,2,3,0,0,0,0,144,-172,12947,1421,94,3107,0,0,0,0,0,2
5495,-22,-39,2041,5,2,0,0,0,0,144,-172,12946,1421,99,3107,0,0,0,0,0,1
5585,-22,-38,2047,-4,2,0,0,0,0,146,-172,12943,1410,80,3107,0,0,0,0,0,1
5681,-31,-37,2042,-3,-4,0,0,0,0,146,-174,12942,1421,105,3106,0,0,0,0,0,1
5799,-33,-44,2039,-4,1,0,0,0,0,146,-175,12941,1421,112,3105,0,0,0,0,0,1
5895,-33,-47,2044,-4,0,0,0,0,0,148,-179,12940,1422,87,3105,0,0,0,0,0,1
5985,-37,-43,2039,3,2,0,0,0,0,149,-179,12940,1422,127,3104,0,0,0,0,0,2
6082,-32,-50,2038,5,-3,0,0,0,0,147,-177,12941,1422,149,3104,0,0,0,0,0,2
6200,-18,-17,2034,6,1,0,0,0,0,144,-171,12942,1419,103,3103,0,0,0,0,0,2
6290,-28,-45,2059,-3,0,0,0,0,0,144,-169,12944,1421,97,3103,0,0,0,0,0,2
6386,-28,-51,2064,12,-5,0,0,0,0,144,-170,12945,1422,93,3103,0,0,0,0,0,2
6482,-22,-17,2015,-1,-10,0,0,0,0,141,-168,12946,1422,133,3103,0,0,0,0,0,3
6600,-35,-62,2051,-3,2,0,0,0,0,137,-168,12943,1423,103,3103,0,0,0,0,0,3
6690,-20,-23,2028,7,5,0,0,0,0,137,-166,12945,1422,160,3103,0,0,0,0,0,3
6786,-28,-49,2044,-2,-2,0,0,0,0,135,-165,12947,1422,112,3102,0,0,0,0,0,3
6882,-25,-31,2043,7,-2,0,0,0,0,137,-165,12948,1420,128,3101,0,0,0,0,0,3
7000,-27,-41,2039,4,0,0,0,0,0,137,-164,12950,1421,167,3100,0,0,0,0,0,3
7091,-26,-38,2041,4,1,0,0,0,0,136,-165,12951,1422,141,3099,0,0,0,0,0,3
7187,-25,-39,2039,5,0,0,0,0,0,136,-164,12954,1421,127,3098,0,0,0,0,0,2
7283,-28,-39,2042,0,0,0,0,0,0,135,-163,12957,1423,122,3098,0,0,0,0,0,2
7401,-27,-22,2036,-5,2,0,0,0,0,136,-162,12959,1422,148,3099,0,0,0,0,0,2
7491,-26,-47,2041,10,-3,0,0,0,0,136,-162,12962,1421,142,3098,0,0,0,0,0,2
7587,-26,-44,2044,4,7,0,0,0,0,137,-162,12961,1414,155,3098,0,-2,0,0,0,2
7683,-28,-47,2028,9,-22,1,0,0,0,106,-161,12957,1423,148,3098,0,-5,0,0,0,2
7796,-19,-34,2036,11,-1,1,0,0,0,97,-159,12951,1423,180,3097,0,-7,0,0,0,2
7891,-14,-35,2037,7,3,1,0,0,0,84,-157,12944,1421,156,3096,0,-7,0,0,0,2
7988,-17,-39,2040,1,-8,0,0,0,0,83,-156,12936,1422,164,3096,0,-8,0,0,0,2
8084,-15,-41,2045,4,-7,0,0,0,0,76,-154,12926,1422,174,3096,0,-8,0,0,0,2
8196,-32,-19,2039,2,4,2,0,0,0,88,-151,12924,1424,166,3096,0,-2,0,0,0,2
8291,-27,-43,2032,12,3,1,0,0,0,109,-150,12932,1421,186,3096,0,-2,0,0,0,2
8388,-27,-38,2027,4,12,0,0,0,0,109,-150,12934,1403,174,3096,0,-5,0,0,0,2
8484,-72,-43,2005,3,58,5,0,0,0,105,-153,12935,1421,199,3095,0,0,0,0,0,2
8586,-28,-40,2037,-3,-1,0,0,0,0,123,-155,12938,1422,196,3094,0,0,0,0,0,2
8692,-26,-43,2045,-2,-3,0,0,0,0,125,-158,12941,1422,221,3094,0,0,0,0,0,2
8788,-23,-35,2039,3,0,1,0,0,0,126,-157,12942,1416,220,3093,0,12,0,0,0,2
8890,-180,-34,1905,19,155,-8,0,0,0,99,-165,12932,1415,178,3093,0,-21,0,0,0,2
8987,-38,-16,2068,20,-178,10,0,0,0,-60,-166,12927,1415,192,3093,0,-25,0,0,0,2
9093,-14,5,1992,156,463,-20,0,0,0,-11,-169,12924,1414,219,3093,0,-4,0,0,0,2
9189,15,-22,2067,-48,168,-12,0,0,0,100,-145,12940,1414,214,3092,0,7,0,0,0,2
9291,-74,-47,1971,-34,-100,6,0,0,0,163,-176,12941,1414,230,3092,0,21,0,0,0,2
9387,-100,-34,1852,20,-170,19,0,0,0,147,-172,12928,1421,259,3091,0,0,0,0,0,2
9493,-11,-38,2050,-15,22,0,0,0,0,97,-167,12933,1421,225,3089,0,0,0,0,0,2
9590,-22,-35,2037,-1,1,1,0,0,0,95,-165,12943,1415,263,3088,0,0,0,0,0,2
9691,-13,-39,2041,0,2,0,0,0,0,95,-163,12951,1421,291,3088,0,0,1,1,0,2
9788,-20,-39,2041,-1,-4,0,0,0,0,93,-162,12962,1417,267,3088,0,0,22,22,0,2
9894,-4,-14,2036,-3,25,5,0,0,0,79,-133,12959,1419,247,3088,0,0,0,0,0,2
9996,-13,-23,2042,82,-15,5,0,0,0,93,-160,13002,1422,227,3088,0,0,0,0,0,2
10092,-14,-47,2050,-18,0,1,0,0,0,93,-161,13006,1421,294,3088,0,0,0,0,0,2
10189,-21,-32,2038,-7,-9,1,0,0,0,91,-158,13012,1415,239,3089,-15,0,1,1,0,2
10294,-21,-20,2027,-58,2,3,0,0,0,95,-196,13014,1414,255,3089,-18,0,1,1,0,2
10397,-11,-34,2048,25,2,2,0,0,0,97,-189,13018,1421,222,3089,14,0,0,0,0,2
10492,-31,33,1990,-93,-21,24,0,0,0,94,-130,13034,1421,197,3088,20,0,0,0,0,2
10589,-18,33,1996,-10,19,1,0,0,0,90,-127,13051,1421,199,3086,0,0,0,0,0,2
10695,-19,-72,2057,-32,18,0,0,0,0,89,-156,13056,1421,231,3085,0,0,0,0,0,2
10797,-31,-14,2021,0,1,0,0,0,0,89,-145,13066,1422,340,3084,0,0,0,0,0,2
10892,-11,-35,2042,16,-6,1,0,0,0,91,-146,13076,1426,331,3083,0,0,0,0,0,2
10989,-30,-45,2043,38,14,0,0,0,0,91,-149,13083,1403,255,3082,0,-26,0,0,0,2
11101,65,-24,2019,-51,-90,6,0,0,0,-85,-162,13086,1413,327,3081,0,-18,0,0,0,2
11197,24,-23,1991,-153,115,-15,0,0,0,-1,-125,13085,1422,349,3081,0,26,0,0,0,2
11294,-174,-28,1637,17,-430,1,0,0,0,188,-166,13065,1414,380,3081,0,0,0,0,0,2
11390,-60,-14,1996,72,57,4,0,0,0,98,-130,13079,1422,348,3081,0,0,0,0,0,2
11501,-37,-48,2034,23,3,0,0,0,0,94,-141,13089,1421,343,3081,0,0,0,0,0,2
11598,-21,-39,2042,-7,2,0,0,0,0,95,-138,13101,1422,329,3082,0,0,0,0,0,2
11694,-17,-37,2037,4,2,0,0,0,0,96,-140,13108,1423,319,3083,0,0,0,0,0,2
11790,-24,-22,2030,-8,-10,1,0,0,0,97,-133,13118,1422,312,3084,0,0,0,0,0,2
11902,-21,-33,2040,16,0,0,0,0,0,101,-136,13130,1421,266,3085,0,0,0,0,0,2
